40
6301.9892255       28392        -32        -73        -21
6302.0107745       28604          4        -11         15
6302.0323235       28504          7         39         25
6302.0538725       28164        -12        -52        -38
6302.0754215       28680        -29        -58         12
6302.0969705       28180         44        -14         25
6302.1185195       28526        -18         59         21
6302.1400685       28594         16          4        -71
6302.1616175       28052        -46         -8         43
6302.1831665       28186         25        -96         -7
6302.2047155       28416         55        -44       -146
6302.2262645       28420        135        -16       -125
6302.2478135       27242        -62         16       -324
6302.2693625       27544         25         42       -530
6302.2909115       26580        -18          1      -1047
6302.3124605       26088         80         53      -1359
6302.3340095       24626         13         55      -1771
6302.3555585       22588        -27         87      -2222
6302.3771075       21494        -28         66      -2031
6302.3986565       20058         51        -96      -1232
6302.4202055       19982        423       -326       -350
6302.4417545       19830        377       -368        414
6302.4633035       20780        420       -131       1025
6302.4848525       21684        114         96       1981
6302.5064015       23630         83        181       1968
6302.5279505       24854         17        142       1805
6302.5494995       25486        -10        122       1524
6302.5710485       26342         13         69       1083
6302.5925975       27422         46         16        685
6302.6141465       27510         43         22        472
6302.6356955       28078         74          1        218
6302.6572445       27830         23         29        118
6302.6787935       27656         24          5         97
6302.7003425       28180        -97        -52         38
6302.7218915       28176        -29         29         40
6302.7434405       28320         53         73         45
6302.7649895       28010          9         47         11
6302.7865385       28472         10          8        -51
6302.8080875       28400         75         16         17
6302.8296365       28046         64         61          9
