40  
6301.9892255        2978         33        -15        -87
6302.0107745        3376         20         -1       -205
6302.0323235        3690         -7          5        -83
6302.0538725        3766        -34          2         10
6302.0754215        3810        -11        -16         27
6302.0969705        3808        -14        -20        -15
6302.1185195        3790         -7          7         -6
6302.1400685        3822        -21         22          2
6302.1616175        3716        -18         -6        -82
6302.1831665        3560         26        -11       -154
6302.2047155        3308         27        -11       -123
6302.2262645        3214          4         10       -150
6302.2478135        3132         42         11       -306
6302.2693625        3096        116          7       -563
6302.2909115        3160        195         10       -704
6302.3124605        3102        165         18       -619
6302.3340095        3016         43          3       -356
6302.3555585        3074         29        -22       -192
6302.3771075        3028        -50        -40        -46
6302.3986565        2884       -136        -38         28
6302.4202055        2818       -252        -46         -7
6302.4417545        2880       -260        -55        -35
6302.4633035        3032       -169        -77         -6
6302.4848525        3180        -63        -65         51
6302.5064015        3290          8        -13        179
6302.5279505        3158         97         14        437
6302.5494995        3056        106         22        591
6302.5710485        2972         83         -7        528
6302.5925975        3066         63        -14        381
6302.6141465        3288         72         -3        383
6302.6356955        3544         -8          3        433
6302.6572445        3686        -31         -5        323
6302.6787935        3772         23        -10        130
6302.7003425        3778          5         -5         65
6302.7218915        3820         22          5         56
6302.7434405        3856         11          8         77
6302.7649895        3768         -9          5         65
6302.7865385        3808         -3          2        116
6302.8080875        3524        -11         -5        144
6302.8296365        3412          3         -3        113
