40
6301.9892255       28456         46        -11        -35
6302.0107745       28536        -41         90        -10
6302.0323235       28340        -15         -9         14
6302.0538725       28640        -30        -31         -6
6302.0754215       28466         17         51          6
6302.0969705       28674         44        -44         19
6302.1185195       28386        -21         36         25
6302.1400685       28142         38         16          2
6302.1616175       28264        -65        -41         54
6302.1831665       28176        -63        -18        -32
6302.2047155       28380         27        -23         37
6302.2262645       27822        -53         12          0
6302.2478135       27882          4         12        -15
6302.2693625       27710         17         -2        -45
6302.2909115       27836        -20         -1        131
6302.3124605       26362         98         85        227
6302.3340095       24554         42        135        611
6302.3555585       21152         14         67        628
6302.3771075       16982        -78         12        250
6302.3986565       14292        -14         20         72
6302.4202055       12714          1         -3         51
6302.4417545       12854        -16        -40        -57
6302.4633035       13780         42          0       -134
6302.4848525       17638         19        106       -186
6302.5064015       22070         33         97       -344
6302.5279505       24982         17         96       -177
6302.5494995       27062        109          3        -72
6302.5710485       27086         -6        -31        -58
6302.5925975       27430         20         40       -118
6302.6141465       28084         21        -26        -50
6302.6356955       28386         29         10        -50
6302.6572445       28066        -52        -53        -36
6302.6787935       28426         -2         29         10
6302.7003425       28156         30        -59         -9
6302.7218915       28232         71         21         11
6302.7434405       28334        -35          7        -46
6302.7649895       28854        -65        -12        -43
6302.7865385       27944         61         56        -33
6302.8080875       28732         93        -12         -7
6302.8296365       29132         43         -5        -32
